BatterID,Season,BatterTeam,FB,GB,IFFB,LD,Center,Oppo,Pull,Barrel,FlareBurner,SolidContact,Topped,Under,Weak,xwOBAcon
514913,2017,BAL,25.0,41.0,4.0,29.0,26.0,38.0,35.0,1.0,31.0,5.0,27.0,27.0,7.0,0.32560204081632654
514913,2019,NYM,2.0,3.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,0.15033333333333335
514917,2015,PHI,43.0,191.0,8.0,82.0,91.0,106.0,120.0,4.0,86.0,11.0,134.0,49.0,18.0,0.3082980132450331
514917,2016,PHI,53.0,256.0,16.0,113.0,113.0,141.0,184.0,8.0,125.0,6.0,187.0,68.0,19.0,0.33044552058111376
514917,2017,PHI,63.0,224.0,11.0,110.0,117.0,123.0,158.0,12.0,106.0,22.0,167.0,63.0,26.0,0.34719444444444447
514917,2018,PHI,105.0,223.0,24.0,102.0,111.0,132.0,190.0,19.0,123.0,13.0,156.0,107.0,16.0,0.33471198156682025
514917,2019,PHI,91.0,257.0,42.0,126.0,126.0,168.0,221.0,14.0,134.0,14.0,220.0,123.0,8.0,0.31228654970760233
514917,2020,CLE,25.0,90.0,4.0,58.0,56.0,50.0,71.0,7.0,50.0,12.0,65.0,30.0,13.0,0.3642768361581921
514917,2021,CLE,73.0,131.0,13.0,71.0,101.0,65.0,121.0,27.0,64.0,16.0,101.0,64.0,15.0,0.3715296167247387
514917,2021,CWS,37.0,76.0,4.0,33.0,45.0,38.0,67.0,3.0,33.0,6.0,58.0,38.0,10.0,0.2785202702702703
514917,2022,WSH,87.0,219.0,26.0,119.0,119.0,149.0,183.0,11.0,120.0,22.0,151.0,108.0,36.0,0.3088370535714286
516414,2015,MIL,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.078
516416,2015,MIL,68.0,281.0,21.0,102.0,128.0,214.0,127.0,6.0,106.0,18.0,224.0,92.0,14.0,0.28329565217391306
516416,2016,ARI,96.0,294.0,16.0,136.0,143.0,211.0,175.0,32.0,123.0,31.0,231.0,96.0,9.0,0.366551724137931
516416,2017,SEA,75.0,241.0,14.0,112.0,154.0,130.0,137.0,14.0,111.0,25.0,190.0,79.0,19.0,0.33923744292237445
516416,2018,SEA,103.0,280.0,33.0,111.0,156.0,168.0,187.0,19.0,127.0,22.0,222.0,112.0,18.0,0.3190673076923077
516416,2019,PHI,83.0,268.0,35.0,121.0,153.0,169.0,184.0,16.0,116.0,30.0,230.0,97.0,16.0,0.31989900990099013
516416,2020,PHI,28.0,73.0,15.0,32.0,52.0,48.0,48.0,9.0,38.0,5.0,48.0,38.0,10.0,0.3501824324324324
516416,2021,PHI,84.0,231.0,26.0,100.0,154.0,135.0,151.0,26.0,99.0,24.0,174.0,86.0,30.0,0.3296469248291572
516416,2022,PHI,47.0,167.0,21.0,62.0,92.0,108.0,97.0,13.0,71.0,12.0,134.0,52.0,12.0,0.3175408163265306
516472,2018,LAA,14.0,36.0,8.0,18.0,24.0,16.0,35.0,5.0,18.0,2.0,29.0,16.0,4.0,0.30882432432432433
516589,2015,MIA,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.14150000000000001
516770,2015,CHC,77.0,253.0,27.0,104.0,146.0,114.0,187.0,20.0,98.0,18.0,211.0,90.0,15.0,0.3170309734513274
516770,2016,NYY,96.0,233.0,22.0,114.0,124.0,146.0,189.0,25.0,119.0,23.0,176.0,100.0,17.0,0.3662478260869565
516770,2017,NYY,55.0,183.0,24.0,91.0,96.0,87.0,150.0,16.0,94.0,25.0,129.0,67.0,22.0,0.3617053824362606
516770,2018,MIA,89.0,245.0,23.0,118.0,153.0,125.0,184.0,33.0,122.0,20.0,193.0,94.0,12.0,0.35616877637130806
516770,2019,MIA,129.0,257.0,32.0,116.0,161.0,142.0,230.0,33.0,146.0,22.0,181.0,130.0,21.0,0.35773170731707316
